iter	Passed	Remaining
0	56	56057
1	56	28315
2	57	19013
3	57	14338
4	58	11547
5	58	9669
6	58	8330
7	59	7332
8	59	6556
9	59	5929
10	60	5418
11	60	4989
12	60	4630
13	61	4323
14	61	4054
15	62	3820
16	62	3611
17	62	3424
18	63	3260
19	63	3114
20	63	2979
21	64	2856
22	64	2744
23	65	2644
24	65	2548
25	65	2461
26	66	2379
27	66	2303
28	66	2234
29	67	2168
30	67	2108
31	67	2053
32	68	1999
33	68	1948
34	68	1901
35	69	1856
36	69	1814
37	70	1773
38	70	1734
39	70	1698
40	71	1665
41	71	1631
42	71	1601
43	72	1570
44	72	1541
45	72	1513
46	73	1486
47	73	1462
48	74	1438
49	74	1415
50	74	1394
51	75	1372
52	75	1351
53	75	1331
54	76	1312
55	76	1294
56	77	1275
57	77	1258
58	77	1240
59	78	1223
60	78	1207
61	78	1192
62	79	1178
63	79	1163
64	79	1149
65	80	1137
66	80	1125
67	81	1112
68	81	1098
69	81	1086
70	82	1074
71	82	1062
72	82	1051
73	83	1040
74	83	1030
75	83	1019
76	84	1009
77	84	999
78	84	989
79	85	979
80	85	970
81	85	962
82	86	951
83	86	942
84	86	935
85	87	927
86	87	918
87	87	910
88	88	902
89	88	895
90	88	887
91	89	879
92	89	872
93	89	865
94	90	858
95	90	852
96	90	845
97	91	839
98	91	833
99	91	827
100	92	822
101	92	816
102	93	811
103	93	805
104	93	799
105	94	794
106	94	788
107	94	782
108	95	777
109	95	772
110	95	767
111	96	763
112	96	758
113	97	753
114	97	749
115	97	745
116	98	739
117	98	735
118	98	730
119	99	726
120	99	721
121	99	717
122	100	713
123	100	709
124	100	705
125	101	701
126	101	696
127	101	692
128	102	689
129	102	685
130	102	681
131	103	677
132	103	673
133	103	670
134	104	666
135	104	663
136	104	659
137	105	656
138	105	652
139	105	650
140	106	646
141	106	642
142	106	639
143	107	636
144	107	632
145	107	629
146	107	626
147	108	623
148	108	621
149	109	618
150	109	615
151	109	612
152	110	609
153	110	606
154	110	604
155	111	601
156	111	598
157	111	595
158	112	593
159	112	591
160	112	588
161	113	585
162	113	583
163	113	580
164	114	578
165	114	575
166	114	573
167	115	570
168	115	568
169	115	565
170	116	563
171	116	561
172	116	558
173	117	556
174	117	554
175	117	552
176	118	549
177	118	548
178	119	546
179	119	544
180	119	542
181	120	540
182	120	538
183	120	536
184	121	534
185	121	532
186	121	530
187	122	528
188	122	526
189	122	524
190	123	522
191	123	520
192	123	518
193	124	516
194	124	514
195	125	512
196	125	511
197	125	509
198	126	507
199	126	506
200	126	504
201	127	502
202	127	500
203	127	498
204	128	496
205	128	495
206	128	493
207	129	492
208	129	490
209	129	488
210	130	486
211	130	485
212	130	483
213	131	482
214	131	481
215	132	479
216	132	478
217	132	476
218	133	475
219	133	473
220	133	472
221	134	470
222	134	469
223	134	467
224	135	466
225	135	464
226	136	463
227	136	461
228	136	460
229	137	458
230	137	457
231	137	456
232	138	454
233	138	453
234	138	451
235	139	450
236	139	449
237	139	447
238	140	446
239	140	444
240	140	443
241	141	442
242	141	441
243	141	439
244	142	438
245	142	437
246	143	436
247	143	434
248	143	433
249	144	432
250	144	430
251	144	429
252	145	428
253	145	427
254	145	425
255	146	424
256	146	423
257	146	422
258	147	421
259	147	419
260	147	418
261	148	417
262	148	416
263	148	414
264	149	413
265	149	412
266	149	411
267	150	410
268	150	409
269	151	408
270	151	407
271	151	406
272	152	404
273	152	403
274	152	402
275	152	401
276	153	400
277	153	399
278	154	398
279	154	397
280	154	396
281	155	395
282	155	393
283	155	392
284	156	391
285	156	390
286	157	390
287	157	389
288	157	388
289	158	386
290	158	385
291	158	384
292	159	383
293	159	382
294	159	381
295	160	380
296	160	379
297	160	378
298	161	377
299	161	376
300	161	375
301	162	374
302	162	373
303	162	372
304	163	372
305	163	371
306	164	370
307	164	369
308	164	368
309	164	367
310	165	366
311	165	365
312	165	364
313	166	363
314	166	362
315	166	361
316	167	360
317	167	359
318	167	358
319	168	357
320	168	356
321	169	355
322	169	355
323	169	354
324	170	353
325	170	352
326	170	351
327	171	350
328	171	349
329	171	348
330	172	347
331	172	347
332	172	346
333	173	345
334	173	344
335	173	343
336	174	342
337	174	342
338	175	341
339	175	340
340	175	339
341	176	339
342	176	338
343	176	337
344	177	336
345	177	335
346	177	334
347	178	333
348	178	333
349	178	332
350	179	331
351	179	330
352	179	329
353	180	329
354	180	328
355	180	327
356	181	326
357	181	325
358	181	324
359	182	324
360	182	323
361	183	322
362	183	321
363	183	321
364	184	320
365	184	319
366	184	318
367	185	317
368	185	317
369	185	316
370	186	315
371	186	314
372	186	314
373	187	313
374	187	312
375	187	311
376	188	310
377	188	310
378	188	309
379	189	308
380	189	308
381	189	307
382	190	306
383	190	305
384	190	305
385	191	304
386	191	303
387	191	302
388	192	301
389	192	301
390	192	300
391	193	299
392	193	298
393	193	298
394	194	297
395	194	296
396	194	296
397	195	295
398	195	294
399	196	294
400	196	293
401	196	292
402	197	292
403	197	291
404	197	290
405	198	290
406	198	289
407	198	288
408	199	288
409	199	287
410	200	286
411	200	286
412	200	285
413	201	284
414	201	284
415	201	283
416	202	282
417	202	282
418	202	281
419	203	280
420	203	279
421	203	279
422	204	278
423	204	277
424	204	277
425	205	276
426	205	275
427	205	275
428	206	274
429	206	273
430	206	273
431	207	272
432	207	271
433	207	271
434	208	270
435	208	269
436	208	269
437	209	268
438	209	267
439	209	267
440	210	266
441	210	265
442	210	265
443	211	264
444	211	263
445	211	263
446	212	262
447	212	262
448	213	261
449	213	260
450	213	260
451	214	259
452	214	259
453	214	258
454	215	257
455	215	257
456	215	256
457	216	255
458	216	255
459	216	254
460	217	254
461	217	253
